job_id,role_id,industry_id,country_id,year_id,education_requirement_level,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level
0,3,7,3,2,2,26.22,30.94,73.2,101839.02,99454.42,-2.34,2.66,15.23,86.62
1,1,3,2,1,5,52.08,56.41,2.06,146389.18,139516.59,-4.69,10.43,26.36,18.34
2,9,7,9,1,2,31.3,31.61,43.19,64947.5,58369.41,-10.13,8.14,36.29,36.64
3,2,7,2,2,5,56.92,63.42,19.97,91708.13,86715.7,-5.44,6.11,64.68,17.05
4,9,5,6,5,3,14.55,17.17,96.56,127007.68,119379.11,-6.01,2.08,71.58,44.02
5,8,4,7,3,3,8.54,8.53,3.44,139118.45,150561.57,8.23,-7.21,38.05,52.01
6,1,5,1,1,1,48.27,42.18,96.96,123015.94,132100.25,7.38,6.71,17.96,19.6
7,9,3,1,7,3,13.17,12.25,38.87,62561.88,59680.04,-4.61,15.57,35.28,54.27
8,6,6,9,6,4,19.86,22.27,7.46,148426.43,138379.12,-6.77,11.12,10.5,81.55
9,4,3,7,1,5,59.48,64.93,77.13,38885.36,35622.03,-8.39,1.91,87.68,62.33
10,5,1,4,6,1,33.16,27.37,31.1,69022.0,74630.21,8.13,18.56,89.85,47.22
11,8,5,3,1,2,8.37,9.09,76.08,97353.26,97004.49,-0.36,20.65,57.05,42.75
12,3,8,3,4,3,5.0,4.22,3.14,106369.25,107345.3,0.92,-14.88,91.68,24.93
13,1,1,1,2,3,38.73,42.69,22.88,39237.59,36065.26,-8.08,-0.02,93.67,80.81
14,3,4,2,6,2,44.34,50.93,80.37,52388.41,52896.98,0.97,14.69,82.67,89.61
15,1,2,7,3,5,32.26,27.23,22.79,81252.93,83659.0,2.96,7.61,10.63,51.07
16,2,1,9,2,1,54.22,48.19,11.99,70513.82,69376.53,-1.61,9.04,56.69,70.3
17,7,8,3,1,2,35.45,42.14,96.24,60213.88,48660.21,-19.19,4.73,35.64,3.69
18,6,1,4,6,4,52.67,52.73,5.15,63437.58,62217.28,-1.92,8.02,23.04,48.95
19,9,2,8,3,2,79.0,70.84,67.21,121394.35,130997.04,7.91,-4.09,43.1,63.23
20,2,6,7,5,4,69.35,70.34,9.03,130236.3,117335.92,-9.91,-0.66,13.67,59.09
21,7,5,8,5,4,57.43,46.32,51.21,57179.49,51105.29,-10.62,9.74,72.18,38.67
22,3,7,5,2,2,65.57,56.06,34.11,43616.82,47165.13,8.14,-7.31,83.55,55.52
23,9,3,7,4,5,47.08,42.21,9.31,137665.89,141243.59,2.6,12.82,40.51,34.92
24,10,6,2,7,1,75.82,87.86,88.71,123585.07,115180.98,-6.8,7.32,24.55,89.86
25,3,6,1,1,3,42.45,34.12,10.15,109620.21,130072.87,18.66,9.74,68.68,22.43
26,9,4,6,1,3,59.85,53.56,32.54,119578.97,131098.92,9.63,9.13,69.19,56.83
27,4,4,2,1,3,16.56,15.68,26.52,59278.76,58821.71,-0.77,8.41,90.28,63.11
28,4,5,8,3,2,65.64,65.71,57.69,89102.12,94676.95,6.26,-3.57,35.27,2.43
29,4,7,1,4,1,55.18,48.06,94.05,144471.43,141243.03,-2.23,12.14,11.39,92.83
30,3,1,3,2,1,29.97,35.57,96.36,132361.13,121152.88,-8.47,-10.15,86.6,31.69
31,2,3,5,6,4,36.86,37.7,93.62,113523.58,103489.71,-8.84,6.54,65.35,99.01
32,3,4,8,6,4,9.81,9.88,87.74,118892.23,131768.87,10.83,15.54,42.35,29.36
33,4,4,3,5,5,66.66,74.92,86.71,139588.87,146778.36,5.15,43.53,81.85,65.0
34,9,5,2,7,2,59.14,66.13,89.0,70559.42,65106.41,-7.73,2.63,62.05,3.59
35,5,8,1,4,5,42.59,43.32,28.65,100899.99,96138.2,-4.72,15.89,21.44,52.22
36,10,3,4,2,1,78.9,69.93,62.29,40241.7,40425.08,0.46,-1.52,58.66,63.74
37,7,7,2,2,5,60.83,72.4,51.63,68754.78,64204.68,-6.62,13.52,49.51,7.85
38,2,7,5,6,1,26.77,31.73,83.6,113516.9,99891.51,-12.0,1.65,24.08,25.02
39,2,3,9,7,3,63.45,68.89,66.02,63592.07,77087.3,21.22,15.32,47.76,24.77
40,3,5,3,6,4,24.92,27.49,1.44,43928.72,45878.36,4.44,12.75,52.68,9.78
41,2,4,6,2,4,59.41,58.78,17.32,82062.2,95458.12,16.32,-9.3,67.16,4.53
42,9,5,5,1,4,36.22,38.05,50.31,132778.78,119746.43,-9.82,9.62,16.35,64.24
43,7,8,7,4,1,11.86,12.26,94.02,99056.9,114767.49,15.86,-7.38,51.24,54.56
44,3,7,7,6,3,65.9,62.9,96.12,138642.08,142537.81,2.81,-1.23,16.41,31.9
45,3,5,4,2,5,59.14,47.86,81.45,63822.57,66101.14,3.57,-1.93,66.6,87.75
46,10,4,7,2,3,76.45,85.74,28.2,51292.75,55125.82,7.47,11.1,99.15,41.26
47,10,5,5,4,5,51.04,56.68,34.08,141690.88,138606.53,-2.18,15.99,77.58,75.45
48,3,7,2,7,1,7.22,8.38,50.53,129174.9,137984.02,6.82,1.9,45.03,1.08
49,3,5,8,4,4,63.38,53.02,31.93,144007.44,145404.25,0.97,10.95,66.87,44.84
50,10,5,7,1,2,45.52,42.4,67.25,120284.94,127792.17,6.24,11.28,18.21,49.44
51,9,7,7,3,4,14.03,14.31,44.15,136524.5,125254.44,-8.25,1.79,22.87,76.15
52,5,8,2,6,4,53.28,44.78,8.41,114116.3,108740.98,-4.71,7.32,17.64,98.66
53,1,5,3,2,1,36.2,34.33,81.28,143669.83,133347.95,-7.18,2.87,79.94,55.84
54,6,7,1,1,1,39.7,46.15,11.12,89115.01,88950.03,-0.19,2.11,15.07,11.88
55,6,2,2,7,5,18.23,19.31,74.6,100004.25,98916.6,-1.09,9.02,35.71,86.86
56,1,7,2,1,2,25.65,30.4,1.22,146385.46,149665.85,2.24,5.13,16.64,55.39
57,3,3,4,4,1,67.85,68.48,62.94,113489.84,137926.28,21.53,-2.67,62.59,90.12
58,6,5,9,5,1,13.18,12.03,95.04,136831.65,166795.09,21.9,-3.08,34.96,18.81
59,9,1,3,2,3,42.46,39.97,58.37,39328.16,40672.22,3.42,23.76,37.86,81.38
60,2,6,7,2,3,72.93,63.09,91.09,128704.47,111712.48,-13.2,23.31,93.95,86.61
61,10,1,5,1,4,28.17,22.83,37.65,127266.4,105463.95,-17.13,18.54,97.29,84.21
62,6,3,5,5,2,68.68,67.82,41.48,62808.85,62841.78,0.05,5.47,79.21,94.48
63,4,6,8,3,1,69.48,62.45,45.05,45499.13,46046.46,1.2,10.14,30.58,67.17
64,2,1,3,2,4,68.27,64.4,11.36,110588.78,127742.78,15.51,6.16,56.81,85.22
65,4,6,2,1,5,48.63,49.82,87.67,78417.94,83478.85,6.45,18.69,73.37,21.3
66,5,3,8,3,1,19.55,15.75,35.06,100790.12,88864.05,-11.83,-15.39,91.37,34.83
67,3,4,3,3,5,35.98,40.06,39.65,104650.4,86824.44,-17.03,4.44,51.32,98.0
68,2,1,4,6,3,59.48,55.41,63.34,58817.47,60973.71,3.67,-4.4,26.37,34.57
69,4,2,3,7,1,72.78,72.02,66.76,50678.38,47991.12,-5.3,-2.93,25.93,8.87
70,3,8,3,1,1,8.44,8.31,20.63,73712.38,88194.84,19.65,5.35,13.54,79.94
71,7,4,3,2,4,53.95,44.93,87.36,140504.69,138926.43,-1.12,2.79,82.56,74.83
72,4,8,2,1,1,22.92,20.25,37.05,88142.76,74787.45,-15.15,18.67,51.63,74.75
73,3,4,2,1,3,5.0,4.5,71.33,137424.82,179736.28,30.79,16.2,19.65,44.74
74,6,4,7,2,1,47.28,42.41,26.92,75274.1,70407.08,-6.47,-5.82,20.78,89.05
75,5,1,9,3,2,51.55,55.24,78.92,89813.06,90507.93,0.77,-3.61,62.82,74.54
76,2,3,1,7,5,55.22,46.99,28.38,73569.88,80383.75,9.26,24.09,42.05,98.65
77,9,4,4,7,2,52.4,46.9,10.18,48343.1,45197.69,-6.51,0.13,26.79,28.51
78,1,8,9,2,3,22.14,25.65,8.02,92941.37,95455.03,2.7,4.5,20.08,39.79
79,9,5,3,2,1,77.86,89.25,81.71,60948.34,64001.35,5.01,-4.78,93.64,55.68
80,9,7,6,2,2,50.01,45.61,76.95,52445.25,48442.32,-7.63,-13.05,55.68,24.24
81,10,1,3,7,2,33.04,34.5,28.86,99748.59,99089.45,-0.66,-7.11,57.93,5.18
82,2,7,4,4,3,48.56,41.46,6.34,148795.23,163768.38,10.06,-0.77,32.92,68.15
83,5,3,3,3,5,63.22,65.63,47.16,79420.91,84004.07,5.77,2.97,84.76,96.5
84,9,1,9,1,3,18.7,20.43,93.83,51747.97,52196.05,0.87,3.44,61.7,84.18
85,1,6,9,1,5,19.78,22.12,20.16,49638.71,51596.72,3.94,0.79,69.87,52.31
86,9,1,1,4,5,35.12,40.42,39.24,127991.93,101905.58,-20.38,-5.08,51.64,30.14
87,4,3,7,5,2,62.33,62.4,23.22,137948.95,149390.51,8.29,-17.11,91.58,62.42
88,5,7,7,1,5,18.18,21.38,62.77,70188.67,72564.54,3.38,0.85,65.81,53.35
89,4,5,1,4,1,72.57,80.95,15.17,67406.65,73003.66,8.3,-3.56,13.02,56.99
90,7,1,5,6,3,63.37,72.92,34.21,128550.88,125081.61,-2.7,-4.79,81.76,14.99
91,4,6,7,3,4,26.05,28.36,72.0,106937.72,111358.89,4.13,23.77,32.66,34.57
92,5,4,4,4,4,22.71,26.42,58.34,78102.17,83212.91,6.54,4.44,23.8,58.62
93,1,6,7,5,1,45.41,47.44,1.81,134654.87,136127.92,1.09,12.26,72.7,92.25
94,5,6,4,4,5,59.51,51.24,57.63,102805.81,119184.69,15.93,-0.11,94.09,92.56
95,6,1,6,4,4,41.56,35.13,98.48,130667.77,131395.92,0.56,15.94,63.21,39.9
96,2,2,8,6,1,28.83,26.93,80.29,30555.84,27463.27,-10.12,-11.55,58.37,91.99
97,5,1,5,7,2,34.24,32.15,73.75,84266.15,82078.68,-2.6,-10.03,22.68,17.64
98,5,5,4,2,1,44.89,43.43,91.48,73487.27,87074.74,18.49,16.27,11.18,66.35
99,8,5,6,5,1,12.46,14.76,14.87,79754.89,100278.7,25.73,5.59,16.04,75.0
100,10,8,4,6,4,39.69,46.01,20.51,52882.53,52709.32,-0.33,-0.43,60.84,6.57
101,10,8,4,2,1,79.29,77.81,52.44,82891.53,93220.52,12.46,-15.73,23.97,18.19
102,3,8,4,2,5,60.32,71.09,37.33,62489.36,55549.44,-11.11,22.52,12.28,15.62
103,10,7,2,2,1,75.12,79.89,2.71,56636.66,60723.97,7.22,-6.29,11.77,10.41
104,10,4,6,6,5,80.99,70.58,65.27,58581.93,57174.06,-2.4,1.25,75.0,85.57
105,4,1,6,5,5,68.12,65.31,66.81,54598.12,57836.34,5.93,1.9,11.17,8.55
106,9,2,8,6,4,24.55,19.9,18.14,99964.99,109202.02,9.24,3.15,83.57,34.18
107,10,6,4,7,3,43.16,41.08,59.03,62167.64,54207.51,-12.8,22.55,59.68,43.61
108,4,2,4,3,4,30.61,36.1,76.36,46813.58,46637.4,-0.38,16.03,90.51,79.99
109,3,6,4,3,3,29.76,24.08,26.87,94996.11,82188.87,-13.48,12.43,22.54,83.49
110,7,3,8,2,2,78.91,79.72,17.17,62676.88,63904.38,1.96,-4.78,34.66,55.42
111,9,4,4,1,4,55.6,62.93,20.64,31319.5,32121.37,2.56,14.83,64.05,66.5
112,9,1,2,4,4,22.28,25.97,41.88,75976.62,71229.46,-6.25,5.26,24.97,73.8
113,8,5,7,4,5,5.8,6.04,24.53,76715.47,69632.85,-9.23,-8.52,74.71,29.71
114,8,8,6,1,3,39.65,39.27,66.37,142419.57,130194.87,-8.58,12.0,12.81,26.23
115,5,8,7,5,5,51.66,42.39,49.64,101621.14,113300.19,11.49,-2.03,19.59,7.51
116,6,5,6,2,3,60.97,60.86,68.84,82179.28,87995.54,7.08,-0.62,81.95,69.47
117,9,2,9,4,3,29.05,30.1,36.1,40989.85,40684.75,-0.74,11.21,26.66,54.19
118,9,4,6,2,5,71.11,77.71,80.66,109054.0,118148.26,8.34,9.59,32.47,48.94
119,4,7,7,5,5,25.48,30.46,94.41,34731.22,36223.33,4.3,7.08,26.25,56.79
120,8,3,7,2,4,64.08,52.14,69.74,65681.88,65422.08,-0.4,11.82,87.58,84.45
121,1,7,3,4,3,32.34,36.59,3.7,101552.39,97139.97,-4.34,1.91,16.93,69.63
122,2,2,1,3,4,48.79,53.18,6.54,67834.84,77650.39,14.47,6.97,38.69,62.59
123,5,8,3,7,1,72.02,75.36,23.3,32928.09,33199.04,0.82,15.65,94.52,79.88
124,10,7,2,1,3,94.86,89.19,76.72,78231.71,96216.38,22.99,1.37,88.63,98.41
125,2,3,9,7,1,78.78,76.19,42.14,118509.88,113530.25,-4.2,2.18,41.92,28.72
126,2,5,9,5,2,45.74,40.87,4.21,32144.87,32033.38,-0.35,7.34,44.59,67.96
127,2,4,6,6,1,40.28,47.53,78.63,40729.32,44738.4,9.84,2.86,95.03,46.74
128,6,5,6,6,3,52.94,45.89,99.12,57800.6,58762.71,1.66,9.92,64.7,51.27
129,7,4,5,7,2,26.15,22.76,22.05,52372.59,49034.43,-6.37,16.89,15.21,96.91
130,5,3,9,3,5,71.87,84.16,99.49,50867.43,58093.17,14.21,-0.71,72.64,15.39
131,9,8,4,1,5,67.11,59.71,22.38,94436.93,109051.09,15.48,22.96,18.23,87.75
132,2,3,3,7,5,43.59,37.13,88.87,144678.18,148814.03,2.86,8.34,68.97,55.09
133,3,7,1,5,4,6.09,5.87,37.27,61170.45,60967.81,-0.33,22.95,17.29,22.02
134,7,3,2,6,3,57.83,48.02,85.12,89417.58,112012.8,25.27,-0.31,84.22,34.78
135,8,8,6,1,4,47.46,48.71,26.7,135435.6,143435.17,5.91,16.09,86.55,86.73
136,7,2,8,4,2,59.59,67.62,69.75,111616.89,127044.12,13.82,11.49,24.27,88.09
137,4,6,2,7,4,71.03,57.65,82.58,45464.38,50949.7,12.07,-3.17,24.47,81.8
138,10,8,3,3,2,83.25,83.5,0.64,64444.58,65676.11,1.91,5.46,66.86,25.98
139,3,6,6,2,4,44.38,45.09,77.98,42837.68,43905.98,2.49,20.77,96.67,34.19
140,6,8,1,1,4,54.28,63.66,10.25,142467.42,136107.19,-4.46,6.94,37.09,70.82
141,7,4,6,2,3,14.71,15.2,34.59,104509.86,98668.58,-5.59,8.77,78.24,2.46
142,5,1,3,5,3,11.55,10.73,48.86,122448.89,115650.53,-5.55,23.81,34.63,99.71
